country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,1.24,1.38,1.53,1.69,1.87,2.06,2.26,2.46,2.65,2.83,3.02,3.21,3.45,3.72,4.03,4.36,4.73,5.12,5.56,5.91,6.26,6.69,7.41,8.22,9.21,10.6,10.8
Albania,0.0691,0.0749,0.0802,0.065,0.0518,0.0477,0.042,0.0356,0.0334,0.0328,0.0316,0.0322,0.0295,0.0286,0.0287,0.028,0.0271,0.0244,0.0197,0.0157,0.0112,0.00873,0.008,0.00784,0.00793,0.00807,0.00822
Algeria,1.75,1.95,2.19,2.48,2.81,3.19,3.63,4.13,4.68,5.29,5.95,6.68,7.47,8.25,9.05,9.91,10.7,9.77,5.78,4.15,2.43,0.972,0.614,0.403,0.674,0.869,0.724
Andorra,0.00859,0.00976,0.0114,0.00958,0.00633,0.00494,0.00307,0.00157,0.00129,0.00126,0.00123,0.00123,0.00121,0.00118,0.00117,0.00118,0.0012,0.00106,0.00094,0.00081,0.00065,0.00065,0.00064,0.00063,0.00103,0.00146,0.00158
Angola,102,136,177,227,284,348,419,498,584,679,781,887,996,1110,1210,1300,1310,1340,1390,1430,1460,1530,1560,1440,1200,1070,756
Antigua and Barbuda,0.0665,0.0718,0.111,0.145,0.175,0.169,0.205,0.156,0.164,0.255,0.39,0.326,0.313,0.275,0.271,0.193,0.216,0.184,0.15,0.15,0.159,0.154,0.144,0.136,0.164,0.133,0.127
Argentina,53.9,48.9,52.8,48.7,46.5,50.2,50.5,82,82.5,68.6,63.1,55.4,67.3,57.5,44.2,44.3,50.6,43.9,38,41.9,34.5,36.7,32.6,34.9,30.4,30.2,29.1
Armenia,0.0854,0.0852,0.0813,0.0756,0.0688,0.0641,0.0598,0.0555,0.0541,0.0528,0.0528,0.0547,0.0558,0.059,0.151,0.319,1.34,0.813,1.76,2.06,1.66,1.66,2.85,2.49,3.79,2.6,2.32
Australia,2.45,2.5,3.16,3.27,3.08,3.09,2.69,1.59,1.62,1.57,1.46,1.57,1.33,1.45,1.61,1.16,1.63,1.38,1.11,1.07,0.995,1.07,0.808,0.846,0.691,0.786,0.775
Austria,0.773,0.998,1.43,1.43,1.46,1.17,0.915,0.463,0.442,0.406,0.334,0.322,0.339,0.365,0.406,0.409,0.312,0.352,0.324,0.283,0.3,0.303,0.27,0.317,0.269,0.26,0.25
Azerbaijan,0.843,0.965,1.06,1.13,1.18,1.22,1.24,1.28,1.34,1.41,1.5,1.61,1.71,1.86,2.04,2.23,2.21,1.78,1.5,1.37,1.09,0.792,0.538,0.542,0.466,0.445,0.56
Bahamas,0.954,1.15,1.39,1.91,2.05,1.97,2.08,1.48,1.56,2.43,2.93,2.67,2.59,2.39,2.33,1.9,2.09,1.86,1.59,1.54,1.67,1.66,1.57,1.51,1.5,1.45,1.4
Bahrain,0.0635,0.0706,0.0803,0.0907,0.0988,0.105,0.106,0.109,0.116,0.125,0.132,0.13,0.124,0.127,0.138,0.152,0.173,0.197,0.223,0.251,0.28,0.31,0.345,0.376,0.399,0.397,0.272
Bangladesh,0,0,0,0,0.0909,0.21,0.332,0.48,0.682,0.962,1.36,1.92,2.72,3.76,5.03,6.5,8.01,9.4,10.4,10.9,11.6,12.2,13.3,13.6,13.1,12.8,10.9
Barbados,0.392,0.407,0.575,0.669,0.782,0.698,0.749,0.801,0.88,0.989,1.23,1.01,0.972,0.896,0.786,0.651,0.7,0.588,0.495,0.45,0.522,0.458,0.466,0.426,0.418,0.393,0.376
Belarus,1.5,1.44,1.18,1.03,1.33,1.28,1.11,1.11,1.03,1.26,0.966,0.826,0.969,1.21,1.26,1.35,1.47,1.61,1.67,1.69,1.74,1.83,1.85,1.76,1.85,1.71,1.64
Belgium,2.9,3.47,2.75,3.6,3.35,3.28,2.69,1.58,1.26,1.12,1.26,1.44,1.32,1.36,1.52,1.25,1.14,1.15,1.12,1.12,1.23,1.2,1.06,1.35,1.06,1.01,0.965
Belize,3.44,3.73,4.21,5.03,5.37,5.34,5.9,5.52,6,7.83,9.78,9.31,8.86,8.63,8.19,7.32,7.04,6.38,5.83,5.72,5.82,5.75,5.55,5.38,5.51,5.26,5.13
Benin,40.1,56.6,78.1,105,137,175,216,258,300,340,377,409,436,458,472,481,483,479,387,301,283,274,266,284,248,179,130
Bhutan,0.23,0.281,0.327,0.366,0.399,0.424,0.448,0.475,0.507,0.547,0.595,0.645,0.7,0.754,0.734,0.737,0.791,0.664,0.613,0.603,0.552,0.479,0.508,0.567,0.867,1.1,1.21
Bolivia,8.99,10.9,12.8,14.6,16.6,18.5,20.3,22,23.5,24.6,25.5,25.9,26,26,26.1,26,25.4,24.6,24.1,21.9,18.1,16,13.3,12.7,13.2,11.5,10.1
Bosnia and Herzegovina,0.0849,0.0922,0.0979,0.0779,0.0613,0.0557,0.0481,0.0391,0.0338,0.0303,0.0276,0.0278,0.0262,0.0265,0.0277,0.0279,0.0284,0.0277,0.0239,0.0202,0.0143,0.0114,0.0109,0.0109,0.0109,0.011,0.0112
Botswana,130,210,320,459,621,804,981,1140,1260,1350,1380,1360,1290,1160,968,696,466,358,259,199,126,73.9,55.7,32.7,18.4,12.3,10.7
Brazil,763,901,953,957,921,925,1260,1250,1150,1030,910,818,735,677,613,583,541,471,446,385,406,364,348,327,294,288,275
Brunei,0.0424,0.0465,0.0507,0.0364,0.0233,0.0205,0.0187,0.0178,0.0189,0.0196,0.0207,0.0223,0.024,0.0256,0.027,0.0278,0.0285,0.025,0.0256,0.0279,0.0227,0.0235,0.0241,0.0143,0.0259,0.0358,0.0398
Bulgaria,1.1,1.02,1.04,1.11,1.32,0.977,1.13,1.64,1.92,1.75,1.59,1.27,1.47,1.23,1.16,1.58,1.63,1.65,1.53,1.32,1.23,1.33,1.13,0.989,0.956,0.912,0.858
Burkina Faso,651,814,973,1120,1240,1330,1390,1410,1410,1380,1340,1270,1200,1120,1030,927,818,724,663,523,461,378,320,272,210,125,77.6
Burundi,195,270,356,452,553,657,754,841,912,964,998,1020,1030,1020,987,915,844,795,722,647,530,392,374,263,197,123,103
Cambodia,1.27,4.32,12.5,30.7,61,102,148,193,233,262,280,290,290,285,274,256,235,215,197,181,166,152,135,118,98.5,72.8,39.5
Cameroon,312,449,624,836,1080,1350,1640,1930,2230,2510,2760,2980,3130,3230,3270,3330,3280,3230,3090,2910,2450,2120,1910,1510,1230,982,901
Canada,5.74,5.9,6.95,7.1,8.62,8.38,6.32,3.73,2.94,2.58,2.99,2.57,2.56,2.49,2.47,2.9,2.64,2.64,2.65,2.3,2.26,2.22,2.15,2.08,2.03,1.97,1.92
Cape Verde,3.98,4.94,5.95,6.98,8.02,8.99,9.83,10.5,11.1,11.6,11.9,12.1,12.4,12.6,12.8,12.9,12.1,9.86,8.55,8.37,8.12,7.84,8.06,6.79,5.69,4.46,3.13
Central African Republic,182,253,339,434,541,654,763,860,943,1010,1060,1090,1100,1100,1070,1010,918,834,760,674,617,557,497,504,442,329,235
Chad,121,173,237,315,405,505,613,724,838,953,1070,1170,1270,1310,1400,1480,1510,1530,1520,1490,1450,1410,1360,1230,1200,1120,860
Chile,8.33,7.83,8.52,8.31,8.68,7.71,8.5,10.7,10.2,10.7,9.9,9.31,9.59,7.62,5.69,5.96,7.17,5.9,6.7,6.75,7.27,6.49,6.01,6.23,5.87,5.3,5.05
China,31.5,37.3,44.8,54.4,68.1,86.6,105,124,142,162,182,205,229,254,279,303,327,350,376,395,410,418,420,420,420,416,408
Colombia,13.9,15.4,16,15.6,16.9,17.6,17.2,62.4,61.8,62.3,67.7,72.6,70.8,83,85.6,81.8,81,81.9,71.6,68.2,56.1,54.4,51.3,48.7,46.5,43.6,41
Comoros,0.0157,0.0236,0.0336,0.0465,0.0636,0.0855,0.116,0.157,0.212,0.285,0.378,0.49,0.618,0.757,0.894,1.02,1.13,1.16,1.05,1.07,0.974,0.967,0.887,0.784,0.676,0.664,0.736
"Congo, Dem. Rep.",1240,1480,1760,2050,2370,2690,2990,3280,3550,3790,4000,4170,4310,4380,4380,4320,4300,4250,4120,3980,3750,3490,3250,2890,2300,1700,1450
"Congo, Rep.",185,233,283,334,382,426,462,493,517,534,543,546,541,531,512,499,491,474,436,422,418,402,389,382,381,366,328
Costa Rica,2.1,3.45,3.15,3.14,2.93,3.47,3.41,3.51,4.08,4.04,4.06,3.97,3.67,3.84,3.49,3.61,3.34,3.3,3.08,2.71,2.76,2.49,3.34,2.74,2.68,2.29,2.11
Cote d'Ivoire,683,892,1120,1360,1600,1840,2060,2260,2440,2590,2720,2810,2850,2870,2880,2850,2840,2720,2430,2130,1680,1500,1360,1090,1010,981,684
Croatia,0.298,0.366,0.414,0.287,0.424,0.52,0.552,0.618,0.444,0.404,0.333,0.238,0.271,0.121,0.179,0.145,0.252,0.108,0.115,0.244,0.26,0.205,0.225,0.195,0.167,0.153,0.143
Cuba,3.57,3.75,3.85,4.89,4.23,4.35,4.24,2.85,2.91,3.05,2.99,3.51,2.59,2.13,2.87,2.58,2.55,3.6,3.68,3.69,4.28,4.92,5.13,6.79,6.74,5.9,5.49
