country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,185,192,197,207,226,236,251,258,273,272,278,291,365,477,459,459,452,441,414,384,272,218,209,337,372,394,410
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0.633,0.618,0.596,0.59,0.587,0.569,0.564,0.587,0.588,0.576,0.566,0.554,0.546,0.539,0.535,0.518,0.501,0.492,0.463,0.443,0.409,0.389,0.373,0.339,0.327,0.304,0.285
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,2160,2240,2320,2450,2580,2760,2960,3270,3770,4360,4810,5650,6880,7770,9560,10300,10200,9600,8310,6990,6220,5600,5410,5790,5640,5600,5510
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0.153,0.14,0.128,0.118,0.109,0.1,0.0919,0.0828,0.0745,0.0678,0.0615,0.0566,0.0519,0.0473,0.0429,0.039,0.0358,0.0333,0.0312,0.0292,0.0271,0.0249,0.0229,0.0208,0.0189,0.017,0.0155
Armenia,0.0483,0.0441,0.0398,0.0349,0.0299,0.0248,0.0201,0.0162,0.0133,0.0111,0.00952,0.00817,0.00715,0.00625,0.00564,0.0051,0.00462,0.00406,0.0037,0.00335,0.00304,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,0.141,0.134,0.126,0.117,0.106,0.0949,0.084,0.0733,0.0631,0.0534,0.0443,0.0379,0.0336,0.0316,0.03,0.028,0.0259,0.0241,0.022,0.0203,0.0184,0.0168,0.0151,0.0136,0.0122,0.0108,0.00979
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,3.48,3.44,3.34,3.25,3.16,3.03,2.88,3.11,3.05,2.88,2.7,2.54,2.43,2.34,2.24,2.01,1.77,1.7,1.6,1.48,1.39,1.34,1.24,1.22,1.17,1.13,1.08
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,0.12,0.134,0.141,0.141,0.136,0.128,0.119,0.114,0.112,0.102,0.0932,0.0832,0.0722,0.0615,0.0527,0.0452,0.0392,0.0348,0.0324,0.0308,0.0291,0.0279,0.0263,0.0238,0.0232,0.0221,0.0217
Benin,3840,3960,4090,4230,4410,4590,4690,4780,4950,5140,5320,5940,6610,7370,8580,8860,8960,8660,7940,7100,6540,6030,5990,5810,5350,5560,5580
Bhutan,34.8,65.6,70.1,67.6,58.6,38.8,30.6,26.9,26.4,26.3,22.3,21.8,21.4,19.1,17.7,16.7,15.9,15.6,14.7,14,12.6,11.6,10.1,8.71,8.03,7.47,6.98
Bolivia,12,11.7,11.5,11.1,10.3,9.46,8.6,7.71,6.89,5.84,5.03,4.37,3.88,3.49,3.19,2.96,2.74,2.56,2.44,2.34,2.25,2.14,2.01,1.9,1.83,1.76,1.67
Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,4.69,4.21,3.75,3.4,2.86,2.66,2.48,2.34,2.26,2.32,2.37,2.18,1.94,1.81,2.13,2.39,2.91,2.75,2.77,2.45,2.67,2.64,2.45,2.35,2.69,3.06,3.51
Brazil,238,227,203,177,151,121,98.7,81.7,63.8,51.1,41.4,34.3,28.7,25.3,23,20.7,18.6,16.4,14.6,13,11.6,10.4,9.17,8.33,7.89,7.58,7.69
Brunei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,18200,19300,20200,21000,21600,22200,22800,23100,23700,25000,27000,28200,29500,30400,30800,31100,31700,32400,33300,33500,33300,32500,30700,28900,27300,27000,26700
Burundi,11400,11500,11600,11700,11500,11500,11400,11300,11600,11800,11900,12100,12300,11700,10300,7630,6710,6330,6180,6360,6370,5890,5000,5030,4510,4340,4330
Cambodia,1400,1300,1150,1090,942,848,768,753,623,612,645,553,543,545,503,452,453,413,417,406,385,361,343,321,308,299,294
