country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,18900,18500,18500,18700,19200,18800,19600,19700,20300,21000,21600,21700,21400,7900,2640,2390,3160,3840,5770,7510,18600,22500,21500,6980,3080,1730,556
Albania,333,0.0239,0.0378,0.0192,0.0757,0.0347,2.68,5.03,3.77,1.47,1.17,0.0304,0.0254,0.0119,0.0101,0.00835,0.0885,0.0268,0.0248,0.00117,0.0104,0.0266,0.00831,0.0006,0.00233,0.167,0.166
Algeria,2890,2540,2240,2000,1790,1590,1510,325,269,251,246,250,255,212,35.4,23,22.5,26.5,42.9,72.2,66.5,57.9,46.1,39.5,32.6,24.6,22.3
Andorra,0.00943,0.00427,0.00472,0.00325,0.00241,0.00248,0.00122,0.00112,0.00099,0.00041,0.00038,0.0009,0.00019,0,0,0,0,0,0,0,0,0,0,0,0,0.00006,0.00006
Angola,12500,12600,12300,11800,11200,10700,10500,9950,9110,9080,8890,7930,8880,9490,2070,1520,1590,863,1280,2610,1320,1580,803,746,1180,348,380
Antigua and Barbuda,0.00078,0.00039,0.00028,0.00022,0.00019,0.00018,0.00019,0.00022,0.00027,0.00033,0.0004,0.00058,0.00056,0.00059,0.00068,0.0007,0.00076,0.00082,0.00086,0.0009,0.001,0.00113,0.00134,0.0016,0.0016,0.00135,0.00125
Argentina,23.8,24.8,19,12.3,7.52,2.89,2.94,3.46,5.39,3.65,3.01,2.72,2.58,2.44,2.24,2.14,2,1.94,1.84,1.71,1.64,1.57,1.46,1.31,1.3,1.24,1.19
Armenia,0.11,0.046,0.0316,0.0255,0.0288,0.0195,0.0364,0.0257,0.00786,0.00497,0.00382,0.00337,0.0033,0.00338,0.00431,0.00508,0.00532,0.0076,0.0127,0.00765,0.00791,0.00986,0.0175,0.022,0.0235,0.0217,0.0181
Australia,0.548,0.521,0.498,0.383,0.349,0.262,0.117,0.0732,0.0651,0.0556,0.0503,0.0519,0.0566,0.0597,0.0729,0.0679,0.0746,0.0809,0.0875,0.097,0.111,0.0995,0.0954,0.106,0.0953,0.0907,0.087
Austria,0.0507,0.0409,0.0256,0.0213,0.0228,0.015,0.0132,0.0104,0.00991,0.0101,0.0122,0.0188,0.0186,0.0177,0.0183,0.0103,0.00661,0.00509,0.00435,0.00404,0.00403,0.00366,0.00363,0.005,0.00345,0.0034,0.00325
Azerbaijan,11.1,33.5,2.99,7.49,36.5,2.74,0.842,3.73,15.1,5.41,1.03,2.79,21.1,9.15,3.81,5.51,0.97,0.0112,0.0205,0.0187,0.00438,0.00727,0.0036,0.418,0.0218,0.0617,0.0522
Bahamas,0.00095,0.00083,0.00074,0.00066,0.00065,0.00063,0.00065,0.00074,0.00084,0.00091,0.00102,0.00131,0.00132,0.00132,0.00143,0.00155,0.0016,0.0017,0.0019,0.002,0.00214,0.0022,0.00266,0.00298,0.00263,0.00249,0.00239
Bahrain,10.5,9.34,8.37,7.2,5.98,1.41,1.07,0.795,0.626,0.104,0.0253,0.0207,0.0261,0.0509,0.114,0.126,0.0955,0.0774,0.0613,0.0515,0.0457,0.0432,0.0376,0.0343,0.0338,0.034,0.0361
Bangladesh,17300,15200,13500,12300,11400,10100,9310,9060,8340,7450,6090,4940,3850,3250,2840,2710,2360,443,318,360,492,382,441,390,391,91,86.6
Barbados,0.00235,0.0012,0.00083,0.00063,0.00049,0.00043,0.00048,0.00058,0.00068,0.00075,0.00074,0.00101,0.00086,0.00086,0.00091,0.00091,0.00095,0.00099,0.00102,0.00103,0.00106,0.0011,0.00122,0.00132,0.0011,0.00099,0.00094
Belarus,0.047,0.0505,0.0363,0.047,0.0227,0.016,0.0125,0.0088,0.00698,0.00607,0.00553,0.00513,0.00494,0.00468,0.00456,0.00437,0.00417,0.00385,0.0036,0.00342,0.00322,0.00304,0.00281,0.00267,0.00255,0.00235,0.00223
Belgium,0.113,0.0934,0.0987,0.142,0.119,0.0788,0.0839,0.054,0.0514,0.0598,0.0642,0.0741,0.0938,0.0841,0.0906,0.0775,0.0752,0.0715,0.0641,0.0727,0.0724,0.0751,0.0766,0.0775,0.0728,0.0697,0.0677
Belize,0.0287,0.0201,0.0136,0.00732,0.00879,0.00772,0.0112,0.0141,0.0214,0.0277,0.0354,0.0529,0.0485,0.0478,0.0505,0.0505,0.0518,0.0545,0.0586,0.061,0.0659,0.0734,0.0862,0.101,0.104,0.0899,0.0866
Benin,3400,3240,3110,3040,3000,2980,3020,3090,3080,3040,2950,2740,1550,1280,358,302,232,349,617,600,646,869,555,667,948,366,318
Bhutan,253,233,217,198,178,174,73.3,12,8.92,11.2,19.9,10.3,13.3,14.9,19.2,30.4,27.9,4.35,2.54,2.33,2.58,3.99,6.95,5.65,4.61,3.81,3.31
