country,2008
Afghanistan,48800
Albania,99
Algeria,3050
Angola,25600
Argentina,900
Armenia,82
Australia,126
Austria,29
Azerbaijan,639
Bahamas,10
Bahrain,18
Bangladesh,13300
Barbados,5
Belarus,74
Belgium,59
Belize,16
Benin,3860
Bhutan,136
Bolivia,1540
Bosnia and Herzegovina,46
Botswana,120
Brazil,12600
Brunei,4
Bulgaria,87
Burkina Faso,17200
Burundi,6350
Cambodia,5540
Cameroon,10600
Canada,264
Cape Verde,23
Central African Republic,2630
Chad,9400
Chile,192
China,13800
Colombia,1490
Comoros,295
"Congo, Dem. Rep.",57800
"Congo, Rep.",1570
Costa Rica,37
Cote d'Ivoire,6230
Croatia,15
Cuba,50
Cyprus,3
Czech Republic,44
Denmark,19
Djibouti,285
Dominican Republic,779
Ecuador,965
Egypt,3480
El Salvador,313
Equatorial Guinea,137
Eritrea,1590
Estonia,6
Ethiopia,30000
Fiji,38
Finland,10
France,342
Gabon,84
Gambia,677
Georgia,133
Germany,297
Ghana,3360
Greece,9
Grenada,1
Guatemala,1760
Guinea,3660
Guinea-Bissau,1260
Guyana,93
Haiti,1070
Honduras,653
Hungary,61
Iceland,2
India,84000
Indonesia,22600
Iran,4050
Iraq,1890
Ireland,18
Israel,55
Italy,223
Jamaica,274
Japan,304
Jordan,243
Kazakhstan,923
Kenya,25700
Kuwait,63
Kyrgyz Republic,600
Lao,1780
Latvia,18
Lebanon,64
Lesotho,347
Liberia,1910
Libya,222
Lithuania,11
Luxembourg,3
"Macedonia, FYR",31
Madagascar,9410
Malawi,5410
Malaysia,282
Maldives,16
Mali,9830
Malta,4
Mauritania,1170
Mauritius,30
Mexico,3610
"Micronesia, Fed. Sts.",12
Moldova,16
Mongolia,377
Montenegro,5
Morocco,1820
Mozambique,9440
Myanmar,9780
Namibia,115
Nepal,2110
Netherlands,54
New Zealand,20
Nicaragua,466
Niger,14400
Nigeria,97800
North Korea,1800
Norway,27
Oman,51
Pakistan,26600
Panama,248
Papua New Guinea,1610
Paraguay,459
Peru,1730
Philippines,9200
Poland,221
Portugal,29
Qatar,11
Romania,55
Russia,506
Rwanda,5180
Samoa,13
Sao Tome and Principe,53
Saudi Arabia,1140
Senegal,5760
Serbia,87
Sierra Leone,5030
Singapore,8
Slovak Republic,33
Slovenia,6
Solomon Islands,63
Somalia,6940
South Africa,3210
South Korea,327
Spain,239
Sri Lanka,546
St. Lucia,8
St. Vincent and the Grenadines,3
Sudan,11000
Suriname,31
Swaziland,168
Sweden,21
Switzerland,25
Syria,1130
Tajikistan,1910
Tanzania,15000
Thailand,791
Togo,1400
Tonga,7
Trinidad and Tobago,13
Tunisia,314
Turkey,1910
Turkmenistan,799
Uganda,15900
Ukraine,495
United Arab Emirates,26
United Kingdom,468
United States,3790
Uruguay,81
Uzbekistan,2530
Vanuatu,23
Venezuela,666
Vietnam,1410
Yemen,3140
Zambia,9090
Zimbabwe,2130
