country,2008
Afghanistan,72700
Albania,106
Algeria,3700
Angola,29900
Argentina,636
Armenia,122
Australia,30
Austria,3
Azerbaijan,1070
Bahamas,5
Bahrain,2
Bangladesh,19900
Barbados,1
Belarus,10
Belgium,5
Belize,15
Benin,5610
Bhutan,227
Bolivia,2270
Bosnia and Herzegovina,49
Botswana,102
Brazil,5180
Brunei,1
Bulgaria,148
Burkina Faso,19400
Burundi,6710
Cambodia,8540
Cameroon,14400
Canada,8
Cape Verde,32
Central African Republic,4280
Chad,16400
Chile,105
China,56400
Colombia,1760
Comoros,428
"Congo, Dem. Rep.",88100
"Congo, Rep.",2180
Costa Rica,26
Cote d'Ivoire,9030
Croatia,5
Cuba,42
Cyprus,1
Czech Republic,20
Denmark,3
Djibouti,347
Dominican Republic,916
Ecuador,851
Egypt,2960
El Salvador,230
Equatorial Guinea,352
Eritrea,1730
Estonia,1
Ethiopia,39500
Fiji,28
Finland,5
France,49
Gabon,240
Gambia,707
Georgia,213
Germany,40
Ghana,4110
Greece,27
Grenada,1
Guatemala,2680
Guinea,6680
Guinea-Bissau,1970
Guyana,121
Haiti,3510
Honduras,828
Hungary,34
Iceland,0
India,204000
Indonesia,30700
Iran,5130
Iraq,5680
Ireland,0
Israel,10
Italy,30
Jamaica,329
Japan,216
Jordan,185
Kazakhstan,1300
Kenya,28200
Kuwait,18
Kyrgyz Republic,842
Lao,2640
Latvia,7
Lebanon,38
Lesotho,508
Liberia,2850
Libya,132
Lithuania,9
Luxembourg,0
"Macedonia, FYR",14
Madagascar,13300
Malawi,6240
Malaysia,98
Maldives,18
Mali,13600
Malta,2
Mauritania,1790
Mauritius,19
Mexico,3900
"Micronesia, Fed. Sts.",28
Moldova,120
Mongolia,492
Montenegro,3
Morocco,2210
Mozambique,14100
Myanmar,14300
Namibia,230
Nepal,3830
Netherlands,12
New Zealand,10
Nicaragua,572
Niger,22500
Nigeria,161000
North Korea,3020
Norway,0
Oman,23
Pakistan,52200
Panama,192
Papua New Guinea,2780
Paraguay,530
Peru,1470
Philippines,13500
Poland,99
Portugal,9
Qatar,4
Romania,697
Russia,866
Rwanda,5570
Samoa,16
Sao Tome and Principe,114
Saudi Arabia,743
Senegal,6300
Serbia,40
Sierra Leone,6980
Singapore,12
Slovak Republic,42
Slovenia,0
Solomon Islands,114
Somalia,13100
South Africa,4130
South Korea,78
Spain,33
Sri Lanka,369
St. Lucia,0
St. Vincent and the Grenadines,0
Sudan,13100
Suriname,24
Swaziland,265
Sweden,8
Switzerland,3
Syria,784
Tajikistan,2340
Tanzania,22000
Thailand,478
Togo,1930
Tonga,6
Trinidad and Tobago,17
Tunisia,235
Turkey,2500
Turkmenistan,1090
Uganda,23500
Ukraine,56
United Arab Emirates,8
United Kingdom,114
United States,786
Uruguay,48
Uzbekistan,3490
Vanuatu,44
Venezuela,790
Vietnam,980
Yemen,7390
Zambia,10200
Zimbabwe,4290
